price,amount
0.012,556.0
0.012,556.0
0.012,556.0
0.012,556.0
0.012,550.0
0.012,550.0
0.012,550.0
0.012,550.0
0.012,507.0
0.012,507.0
0.012,507.0
0.012,507.0
0.012,545.0
0.012,545.0
0.012,545.0
0.012,545.0
0.012,500.0
0.012,500.0
0.012,500.0
0.012,500.0
0.012,580.0
0.012,580.0
0.012,580.0
0.012,580.0
0.013800000000000002,546.0
0.013800000000000002,546.0
0.013800000000000002,546.0
0.013800000000000002,546.0
0.013800000000000002,565.0
0.013800000000000002,565.0
0.013800000000000002,565.0
0.013800000000000002,565.0
0.013800000000000002,508.0
0.013800000000000002,508.0
0.013800000000000002,508.0
0.013800000000000002,508.0
0.013800000000000002,548.0
0.013800000000000002,548.0
0.013800000000000002,548.0
0.013800000000000002,548.0
0.013800000000000002,513.0
0.013800000000000002,513.0
0.013800000000000002,513.0
0.013800000000000002,513.0
0.013800000000000002,524.0
0.013800000000000002,524.0
0.013800000000000002,524.0
0.013800000000000002,524.0
0.01348,515.0
0.01348,515.0
0.01348,515.0
0.01348,515.0
0.01348,495.0
0.01348,495.0
0.01348,495.0
0.01348,495.0
0.01348,500.0
0.01348,500.0
0.01348,500.0
0.01348,500.0
0.01348,531.0
0.01348,531.0
0.01348,531.0
0.01348,531.0
0.01348,535.0
0.01348,535.0
0.01348,535.0
0.01348,535.0
0.01348,545.0
0.01348,545.0
0.01348,545.0
0.01348,545.0
0.00992,509.0
0.00992,509.0
0.00992,509.0
0.00992,509.0
0.00992,510.0
0.00992,510.0
0.00992,510.0
0.00992,510.0
0.00992,504.0
0.00992,504.0
0.00992,504.0
0.00992,504.0
0.00992,498.0
0.00992,498.0
0.00992,498.0
0.00992,498.0
0.00992,511.0
0.00992,511.0
0.00992,511.0
0.00992,511.0
0.00992,536.0
0.00992,536.0
0.00992,536.0
0.00992,536.0
0.01308,553.0
0.01308,553.0
0.01308,553.0
0.01308,553.0
0.01308,588.0
0.01308,588.0
0.01308,588.0
0.01308,588.0
0.01308,560.0
0.01308,560.0
0.01308,560.0
0.01308,560.0
0.01308,549.0
0.01308,549.0
0.01308,549.0
0.01308,549.0
0.01308,545.0
0.01308,545.0
0.01308,545.0
0.01308,545.0
0.01308,595.0
0.01308,595.0
0.01308,595.0
0.01308,595.0
0.01376,614.0
0.01376,614.0
0.01376,614.0
0.01376,614.0
0.01376,609.0
0.01376,609.0
0.01376,609.0
0.01376,609.0
0.01376,595.0
0.01376,595.0
0.01376,595.0
0.01376,595.0
0.01376,622.0
0.01376,622.0
0.01376,622.0
0.01376,622.0
0.01376,593.0
0.01376,593.0
0.01376,593.0
0.01376,593.0
0.01376,623.0
0.01376,623.0
0.01376,623.0
0.01376,623.0
0.01052,501.0
0.01052,501.0
0.01052,501.0
0.01052,501.0
0.01052,563.0
0.01052,563.0
0.01052,563.0
0.01052,563.0
0.01052,600.0
0.01052,600.0
0.01052,600.0
0.01052,600.0
0.01052,606.0
0.01052,606.0
0.01052,606.0
0.01052,606.0
0.01052,580.0
0.01052,580.0
0.01052,580.0
0.01052,580.0
0.01052,593.0
0.01052,593.0
0.01052,593.0
0.01052,593.0
0.010320000000000001,501.0
0.010320000000000001,501.0
0.010320000000000001,501.0
0.010320000000000001,501.0
0.010320000000000001,554.0
0.010320000000000001,554.0
0.010320000000000001,554.0
0.010320000000000001,554.0
0.010320000000000001,550.0
0.010320000000000001,550.0
0.010320000000000001,550.0
0.010320000000000001,550.0
0.010320000000000001,596.0
0.010320000000000001,596.0
0.010320000000000001,596.0
0.010320000000000001,596.0
0.010320000000000001,591.0
0.010320000000000001,591.0
0.010320000000000001,591.0
0.010320000000000001,591.0
0.010320000000000001,605.0
0.010320000000000001,605.0
0.010320000000000001,605.0
0.010320000000000001,605.0
0.00848,536.0
0.00848,536.0
0.00848,536.0
0.00848,536.0
0.00848,567.0
0.00848,567.0
0.00848,567.0
0.00848,567.0
0.00848,576.0
0.00848,576.0
0.00848,576.0
0.00848,576.0
0.00848,579.0
0.00848,579.0
0.00848,579.0
0.00848,579.0
0.00848,533.0
0.00848,533.0
0.00848,533.0
0.00848,533.0
0.00848,551.0
0.00848,551.0
0.00848,551.0
0.00848,551.0
0.012039999999999999,607.0
0.012039999999999999,607.0
0.012039999999999999,607.0
0.012039999999999999,607.0
0.012039999999999999,603.0
0.012039999999999999,603.0
0.012039999999999999,603.0
0.012039999999999999,603.0
0.012039999999999999,594.0
0.012039999999999999,594.0
0.012039999999999999,594.0
0.012039999999999999,594.0
0.012039999999999999,550.0
0.012039999999999999,550.0
0.012039999999999999,550.0
0.012039999999999999,550.0
0.012039999999999999,567.0
0.012039999999999999,567.0
0.012039999999999999,567.0
0.012039999999999999,567.0
0.012039999999999999,587.0
0.012039999999999999,587.0
0.012039999999999999,587.0
0.012039999999999999,587.0
0.0132,528.0
0.0132,528.0
0.0132,528.0
0.0132,528.0
0.0132,544.0
0.0132,544.0
0.0132,544.0
0.0132,544.0
0.0132,549.0
0.0132,549.0
0.0132,549.0
0.0132,549.0
0.0132,559.0
0.0132,559.0
0.0132,559.0
0.0132,559.0
0.0132,554.0
0.0132,554.0
0.0132,554.0
0.0132,554.0
0.0132,555.0
0.0132,555.0
0.0132,555.0
0.0132,555.0
0.01316,569.0
0.01316,569.0
0.01316,569.0
0.01316,569.0
0.01316,520.0
0.01316,520.0
0.01316,520.0
0.01316,520.0
0.01316,565.0
0.01316,565.0
0.01316,565.0
0.01316,565.0
0.01316,613.0
0.01316,613.0
0.01316,613.0
0.01316,613.0
0.01316,578.0
0.01316,578.0
0.01316,578.0
0.01316,578.0
0.01316,574.0
0.01316,574.0
0.01316,574.0
0.01316,574.0
0.01264,567.0
0.01264,567.0
0.01264,567.0
0.01264,567.0
0.01264,521.0
0.01264,521.0
0.01264,521.0
0.01264,521.0
0.01264,561.0
0.01264,561.0
0.01264,561.0
0.01264,561.0
0.01264,594.0
0.01264,594.0
0.01264,594.0
0.01264,594.0
0.01264,581.0
0.01264,581.0
0.01264,581.0
0.01264,581.0
0.01264,576.0
0.01264,576.0
0.01264,576.0
0.01264,576.0
0.00868,583.0
0.00868,583.0
0.00868,583.0
0.00868,583.0
0.00868,573.0
0.00868,573.0
0.00868,573.0
0.00868,573.0
0.00868,606.0
0.00868,606.0
0.00868,606.0
0.00868,606.0
0.00868,587.0
0.00868,587.0
0.00868,587.0
0.00868,587.0
0.00868,600.0
0.00868,600.0
0.00868,600.0
0.00868,600.0
0.00868,590.0
0.00868,590.0
0.00868,590.0
0.00868,590.0
0.00756,509.0
0.00756,509.0
0.00756,509.0
0.00756,509.0
0.00756,505.0
0.00756,505.0
0.00756,505.0
0.00756,505.0
0.00756,510.0
0.00756,510.0
0.00756,510.0
0.00756,510.0
0.00756,584.0
0.00756,584.0
0.00756,584.0
0.00756,584.0
0.00756,501.0
0.00756,501.0
0.00756,501.0
0.00756,501.0
0.00756,536.0
0.00756,536.0
0.00756,536.0
0.00756,536.0
0.01,530.0
0.01,530.0
0.01,530.0
0.01,530.0
0.01,537.0
0.01,537.0
0.01,537.0
0.01,537.0
0.01,524.0
0.01,524.0
0.01,524.0
0.01,524.0
0.01,548.0
0.01,548.0
0.01,548.0
0.01,548.0
0.01,552.0
0.01,552.0
0.01,552.0
0.01,552.0
0.01,528.0
0.01,528.0
0.01,528.0
0.01,528.0
0.0071200000000000005,594.0
0.0071200000000000005,594.0
0.0071200000000000005,594.0
0.0071200000000000005,594.0
0.0071200000000000005,591.0
0.0071200000000000005,591.0
0.0071200000000000005,591.0
0.0071200000000000005,591.0
0.0071200000000000005,539.0
0.0071200000000000005,539.0
0.0071200000000000005,539.0
0.0071200000000000005,539.0
0.0071200000000000005,591.0
0.0071200000000000005,591.0
0.0071200000000000005,591.0
0.0071200000000000005,591.0
0.0071200000000000005,521.0
0.0071200000000000005,521.0
0.0071200000000000005,521.0
0.0071200000000000005,521.0
0.0071200000000000005,574.0
0.0071200000000000005,574.0
0.0071200000000000005,574.0
0.0071200000000000005,574.0
0.01108,539.0
0.01108,539.0
0.01108,539.0
0.01108,539.0
0.01108,490.0
0.01108,490.0
0.01108,490.0
0.01108,490.0
0.01108,560.0
0.01108,560.0
0.01108,560.0
0.01108,560.0
0.01108,542.0
0.01108,542.0
0.01108,542.0
0.01108,542.0
0.01108,551.0
0.01108,551.0
0.01108,551.0
0.01108,551.0
0.01108,539.0
0.01108,539.0
0.01108,539.0
0.01108,539.0
0.013560000000000001,538.0
0.013560000000000001,538.0
0.013560000000000001,538.0
0.013560000000000001,538.0
0.013560000000000001,523.0
0.013560000000000001,523.0
0.013560000000000001,523.0
0.013560000000000001,523.0
0.013560000000000001,525.0
0.013560000000000001,525.0
0.013560000000000001,525.0
0.013560000000000001,525.0
0.013560000000000001,531.0
0.013560000000000001,531.0
0.013560000000000001,531.0
0.013560000000000001,531.0
0.013560000000000001,528.0
0.013560000000000001,528.0
0.013560000000000001,528.0
0.013560000000000001,528.0
0.013560000000000001,524.0
0.013560000000000001,524.0
0.013560000000000001,524.0
0.013560000000000001,524.0
0.0146,513.0
0.0146,513.0
0.0146,513.0
0.0146,513.0
0.0146,501.0
0.0146,501.0
0.0146,501.0
0.0146,501.0
0.0146,520.0
0.0146,520.0
0.0146,520.0
0.0146,520.0
0.0146,553.0
0.0146,553.0
0.0146,553.0
0.0146,553.0
0.0146,520.0
0.0146,520.0
0.0146,520.0
0.0146,520.0
0.0146,548.0
0.0146,548.0
0.0146,548.0
0.0146,548.0
0.00868,521.0
0.00868,521.0
0.00868,521.0
0.00868,521.0
0.00868,528.0
0.00868,528.0
0.00868,528.0
0.00868,528.0
0.00868,533.0
0.00868,533.0
0.00868,533.0
0.00868,533.0
0.00868,557.0
0.00868,557.0
0.00868,557.0
0.00868,557.0
0.00868,527.0
0.00868,527.0
0.00868,527.0
0.00868,527.0
0.00868,519.0
0.00868,519.0
0.00868,519.0
0.00868,519.0
0.010199999999999999,445.0
0.010199999999999999,445.0
0.010199999999999999,445.0
0.010199999999999999,445.0
0.010199999999999999,496.0
0.010199999999999999,496.0
0.010199999999999999,496.0
0.010199999999999999,496.0
0.010199999999999999,528.0
0.010199999999999999,528.0
0.010199999999999999,528.0
0.010199999999999999,528.0
0.010199999999999999,564.0
0.010199999999999999,564.0
0.010199999999999999,564.0
0.010199999999999999,564.0
0.010199999999999999,544.0
0.010199999999999999,544.0
0.010199999999999999,544.0
0.010199999999999999,544.0
0.010199999999999999,570.0
0.010199999999999999,570.0
0.010199999999999999,570.0
0.010199999999999999,570.0
0.008400000000000001,516.0
0.008400000000000001,516.0
0.008400000000000001,516.0
0.008400000000000001,516.0
0.008400000000000001,551.0
0.008400000000000001,551.0
0.008400000000000001,551.0
0.008400000000000001,551.0
0.008400000000000001,526.0
0.008400000000000001,526.0
0.008400000000000001,526.0
0.008400000000000001,526.0
0.008400000000000001,548.0
0.008400000000000001,548.0
0.008400000000000001,548.0
0.008400000000000001,548.0
0.008400000000000001,529.0
0.008400000000000001,529.0
0.008400000000000001,529.0
0.008400000000000001,529.0
0.008400000000000001,563.0
0.008400000000000001,563.0
0.008400000000000001,563.0
0.008400000000000001,563.0
0.012,521.0
0.012,521.0
0.012,521.0
0.012,521.0
0.012,518.0
0.012,518.0
0.012,518.0
0.012,518.0
0.012,539.0
0.012,539.0
0.012,539.0
0.012,539.0
0.012,501.0
0.012,501.0
0.012,501.0
0.012,501.0
0.012,520.0
0.012,520.0
0.012,520.0
0.012,520.0
0.012,510.0
0.012,510.0
0.012,510.0
0.012,510.0
0.00824,464.0
0.00824,464.0
0.00824,464.0
0.00824,464.0
0.00824,464.0
0.00824,450.0
0.00824,450.0
0.00824,450.0
0.00824,450.0
0.00824,466.0
0.00824,466.0
0.00824,466.0
0.00824,466.0
0.00824,459.0
0.00824,459.0
0.00824,459.0
0.00824,459.0
0.00824,500.0
0.00824,500.0
0.00824,500.0
0.00824,500.0
0.00824,554.0
0.00824,554.0
0.00824,554.0
0.01128,554.0
0.01128,523.0
0.01128,523.0
0.01128,523.0
0.01128,523.0
0.01128,590.0
0.01128,590.0
0.01128,590.0
0.01128,590.0
0.01128,541.0
0.01128,541.0
0.01128,541.0
0.01128,541.0
0.01128,561.0
0.01128,561.0
0.01128,561.0
0.01128,561.0
0.01128,540.0
0.01128,540.0
0.01128,540.0
0.01128,540.0
0.01128,544.0
0.01128,544.0
0.01128,544.0
0.01112,544.0
0.01112,573.0
0.01068,573.0
0.01068,573.0
0.01068,573.0
0.01068,557.0
0.01068,557.0
0.01068,557.0
0.01068,557.0
0.01068,505.0
0.01068,505.0
0.01068,505.0
0.01068,505.0
0.01068,525.0
0.01068,525.0
0.01068,525.0
0.01068,525.0
0.01068,504.0
0.01068,504.0
0.01068,504.0
0.01068,504.0
0.01068,565.0
0.01068,565.0
0.01068,565.0
0.01068,565.0
0.0072,496.0
0.00752,496.0
0.00752,496.0
0.00752,496.0
0.00752,577.0
0.00752,577.0
0.00752,577.0
0.00752,577.0
0.00752,544.0
0.00752,544.0
0.00752,544.0
0.00752,544.0
0.00752,559.0
0.00752,559.0
0.00752,559.0
0.00752,559.0
0.00752,567.0
0.00752,567.0
0.00752,567.0
0.00752,567.0
0.00752,580.0
0.00752,580.0
0.00752,580.0
0.00752,580.0
0.00916,503.0
0.00916,503.0
0.00916,503.0
0.00916,503.0
0.00916,590.0
0.00916,590.0
0.00916,590.0
0.00916,590.0
0.00916,563.0
0.00916,563.0
0.00916,563.0
0.00916,563.0
0.00916,545.0
0.00916,545.0
0.00916,545.0
0.00916,545.0
0.00916,499.0
0.00916,499.0
0.00916,499.0
0.00916,499.0
0.00916,591.0
0.00916,591.0
0.00916,591.0
0.00916,591.0
0.008320000000000001,507.0
0.008320000000000001,507.0
0.008320000000000001,507.0
0.008320000000000001,507.0
0.008320000000000001,563.0
0.008320000000000001,563.0
0.008320000000000001,563.0
0.008320000000000001,563.0
0.008320000000000001,523.0
0.008320000000000001,523.0
0.008320000000000001,523.0
0.008320000000000001,523.0
0.008320000000000001,591.0
0.008320000000000001,591.0
0.008320000000000001,591.0
0.008320000000000001,591.0
0.008320000000000001,545.0
0.008320000000000001,545.0
0.008320000000000001,545.0
0.008320000000000001,545.0
0.008320000000000001,587.0
0.008320000000000001,587.0
0.008320000000000001,587.0
0.008320000000000001,587.0
0.00632,545.0
0.00632,545.0
0.00632,545.0
0.00632,545.0
0.00632,561.0
0.00632,561.0
0.00632,561.0
0.00632,561.0
0.00632,615.0
0.00632,615.0
0.00632,615.0
0.00632,615.0
0.00632,611.0
0.00632,611.0
0.00632,611.0
0.00632,611.0
0.00632,536.0
0.00632,536.0
0.00632,536.0
0.00632,536.0
0.00632,537.0
0.00632,537.0
0.00632,537.0
0.00632,537.0
0.011519999999999999,523.0
0.011519999999999999,523.0
0.011519999999999999,523.0
0.011519999999999999,523.0
0.011519999999999999,507.0
0.011519999999999999,507.0
0.011519999999999999,507.0
0.011519999999999999,507.0
0.011519999999999999,522.0
0.011519999999999999,522.0
0.011519999999999999,522.0
0.011519999999999999,522.0
0.011519999999999999,500.0
0.011519999999999999,500.0
0.011519999999999999,500.0
0.011519999999999999,500.0
0.011519999999999999,514.0
0.011519999999999999,514.0
0.011519999999999999,514.0
0.011519999999999999,514.0
0.011519999999999999,526.0
0.011519999999999999,526.0
0.011519999999999999,526.0
0.011519999999999999,526.0
0.006,483.0
0.006,483.0
0.006,483.0
0.006,483.0
0.006,488.0
0.006,488.0
0.006,488.0
0.006,488.0
0.006,535.0
0.006,535.0
0.006,535.0
0.006,535.0
0.006,491.0
0.006,491.0
0.006,491.0
0.006,491.0
0.006,495.0
0.006,495.0
0.006,495.0
0.006,495.0
0.006,516.0
0.006,516.0
0.006,516.0
0.006,516.0
0.01016,500.0
0.01016,500.0
0.01016,500.0
0.01016,500.0
0.01016,517.0
0.01016,517.0
0.01016,517.0
0.01016,517.0
0.01016,537.0
0.01016,537.0
0.01016,537.0
0.01016,537.0
0.01016,611.0
0.01016,611.0
0.01016,611.0
0.01016,611.0
0.01016,560.0
0.01016,560.0
0.01016,560.0
0.01016,560.0
0.01016,530.0
0.01016,530.0
0.01016,530.0
0.01016,530.0
0.00788,503.0
0.00788,503.0
0.00788,503.0
0.00788,503.0
0.00788,491.0
0.00788,491.0
0.00788,491.0
0.00788,491.0
0.00788,510.0
0.00788,510.0
0.00788,510.0
0.00788,510.0
0.00788,511.0
0.00788,511.0
0.00788,511.0
0.00788,511.0
0.00788,514.0
0.00788,514.0
0.00788,514.0
0.00788,514.0
0.00788,519.0
0.00788,519.0
0.00788,519.0
0.00788,519.0
0.0061600000000000005,533.0
0.0061600000000000005,533.0
0.0061600000000000005,533.0
0.0061600000000000005,533.0
0.0061600000000000005,522.0
0.0061600000000000005,522.0
0.0061600000000000005,522.0
0.0061600000000000005,522.0
0.0061600000000000005,463.0
0.0061600000000000005,463.0
0.0061600000000000005,463.0
0.0061600000000000005,463.0
0.0061600000000000005,471.0
0.0061600000000000005,471.0
0.0061600000000000005,471.0
0.0061600000000000005,471.0
0.0061600000000000005,468.0
0.0061600000000000005,468.0
0.0061600000000000005,468.0
0.0061600000000000005,468.0
0.0061600000000000005,472.0
0.0061600000000000005,472.0
0.0061600000000000005,472.0
0.0061600000000000005,472.0
0.008919999999999999,505.0
0.008919999999999999,505.0
0.008919999999999999,505.0
0.008919999999999999,505.0
0.008919999999999999,472.0
0.008919999999999999,472.0
0.008919999999999999,472.0
0.008919999999999999,472.0
0.008919999999999999,449.0
0.008919999999999999,449.0
0.008919999999999999,449.0
0.008919999999999999,449.0
0.008919999999999999,461.0
0.008919999999999999,461.0
0.008919999999999999,461.0
0.008919999999999999,461.0
0.008919999999999999,500.0
0.008919999999999999,500.0
0.008919999999999999,500.0
0.008919999999999999,500.0
0.008919999999999999,512.0
0.008919999999999999,512.0
0.008919999999999999,512.0
0.008919999999999999,512.0
0.008320000000000001,564.0
0.008320000000000001,564.0
0.008320000000000001,564.0
0.008320000000000001,564.0
0.008320000000000001,554.0
0.008320000000000001,554.0
0.008320000000000001,554.0
0.008320000000000001,554.0
0.008320000000000001,517.0
0.008320000000000001,517.0
0.008320000000000001,517.0
0.008320000000000001,517.0
0.008320000000000001,565.0
0.008320000000000001,565.0
0.008320000000000001,565.0
0.008320000000000001,565.0
0.008320000000000001,485.0
0.008320000000000001,485.0
0.008320000000000001,485.0
0.008320000000000001,485.0
0.008320000000000001,571.0
0.008320000000000001,571.0
0.008320000000000001,571.0
0.008320000000000001,571.0
0.00624,544.0
0.00624,544.0
0.00624,544.0
0.00624,544.0
0.00624,531.0
0.00624,531.0
0.00624,531.0
0.00624,531.0
0.00624,540.0
0.00624,540.0
0.00624,540.0
0.00624,540.0
0.00624,567.0
0.00624,567.0
0.00624,567.0
0.00624,567.0
0.00624,501.0
0.00624,501.0
0.00624,501.0
0.00624,501.0
0.00624,504.0
0.00624,504.0
0.00624,504.0
0.00624,504.0
0.00752,546.0
0.00752,546.0
0.00752,546.0
0.00752,546.0
0.00752,459.0
0.00752,459.0
0.00752,459.0
0.00752,459.0
0.00752,500.0
0.00752,500.0
0.00752,500.0
0.00752,500.0
0.00752,475.0
0.00752,475.0
0.00752,475.0
0.00752,475.0
0.00752,463.0
0.00752,463.0
0.00752,463.0
0.00752,463.0
0.00752,459.0
0.00752,459.0
0.00752,459.0
0.00752,459.0
0.00604,559.0
0.00604,559.0
0.00604,559.0
0.00604,559.0
0.00604,481.0
0.00604,481.0
0.00604,481.0
0.00604,481.0
0.00604,455.0
0.00604,455.0
0.00604,455.0
0.00604,455.0
0.00604,487.0
0.00604,487.0
0.00604,487.0
0.00604,487.0
0.00604,516.0
0.00604,516.0
0.00604,516.0
0.00604,516.0
0.00604,517.0
0.00604,517.0
0.00604,517.0
0.00604,517.0
0.0071600000000000006,533.0
0.0071600000000000006,533.0
0.0071600000000000006,533.0
0.0071600000000000006,533.0
0.0071600000000000006,483.0
0.0071600000000000006,483.0
0.0071600000000000006,483.0
0.0071600000000000006,483.0
0.0071600000000000006,505.0
0.0071600000000000006,505.0
0.0071600000000000006,505.0
0.0071600000000000006,505.0
0.0071600000000000006,534.0
0.0071600000000000006,534.0
0.0071600000000000006,534.0
0.0071600000000000006,534.0
0.0071600000000000006,489.0
0.0071600000000000006,489.0
0.0071600000000000006,489.0
0.0071600000000000006,489.0
0.0071600000000000006,461.0
0.0071600000000000006,461.0
0.0071600000000000006,461.0
0.0071600000000000006,461.0
0.00792,514.0
0.00792,514.0
0.00792,514.0
0.00792,514.0
0.00792,500.0
0.00792,500.0
0.00792,500.0
0.00792,500.0
0.00792,465.0
0.00792,465.0
0.00792,465.0
0.00792,465.0
0.00792,494.0
0.00792,494.0
0.00792,494.0
0.00792,494.0
0.00792,492.0
0.00792,492.0
0.00792,492.0
0.00792,492.0
0.00792,489.0
0.00792,489.0
0.00792,489.0
0.00792,489.0
0.00584,538.0
0.00584,538.0
0.00584,538.0
0.00584,538.0
0.00584,491.0
0.00584,491.0
0.00584,491.0
0.00584,491.0
0.00584,491.0
0.00584,491.0
0.00584,491.0
0.00584,491.0
0.00584,491.0
0.00584,491.0
0.00584,491.0
0.00584,491.0
0.00584,484.0
0.00584,484.0
